House	Rent	House (sf)	Lot (sf)	Bedrooms	Bathrooms
2316 Lakeshore Ave	2195	650	619	1	1
2609 8th Ave	2550	1300	1300	1	1
405 Bellevue Ave, Apt 105	2395	680	680	1	1
638 E 17th St	2445	1000	1000	2	1.5
2011 7th Ave	2995	1024	1024	3	1
2519 7th Ave	1900	650	650	1	1
151 Athol Ave	2050	762	762	1	1
479 Wesley Ave	1900	750	750	1	1
492 Stow Ave	3600	2464	2464	2	1
627 Hillsborough St	2395	800	800	1	1
481 Merritt Ave	2395	1100	1100	1	1.5
1507 1st Ave	1995	575	575	1	1
1302 E 19th St	1900	1352	1352	1	1
1515 4th Ave	2935	1281	1281	3	2
730 Wesley Way	2450	900	900	1	1
3232 14th Ave	1575	850	850	1	1
2042 E 23rd St	2950	1050	1050	4	2
2655 Wakefield Ave, Apt C	1975	550	550	1	1
370 Staten Ave	2395	650	650	1	1
396 Bellevue Ave	2995	1400	1400	2	2
